PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
6.82E-06,3.51E-06,1.18E-05,3.37E-07,2.03E-06,1.26E-06,0.2228322672,1.05E-05,4.83E-06
7.67E-06,3.61E-06,1.41E-05,3.83E-07,2.44E-06,1.41E-06,0.1920490861,1.22E-05,5.36E-06
9.04E-06,3.87E-06,1.69E-05,4.58E-07,3.06E-06,2.09E-06,0.1638132728,1.46E-05,6.16E-06
9.91E-06,4.14E-06,1.88E-05,5.30E-07,3.48E-06,1.66E-06,0.1425249552,1.62E-05,6.62E-06
9.59E-06,4.14E-06,1.84E-05,5.33E-07,3.37E-06,1.42E-06,0.1402267383,1.62E-05,6.49E-06
8.90E-06,3.93E-06,1.66E-05,5.02E-07,2.96E-06,1.43E-06,0.1499584775,1.51E-05,5.97E-06
8.56E-06,3.75E-06,1.54E-05,4.87E-07,2.68E-06,1.55E-06,0.1443484527,1.44E-05,5.59E-06
8.38E-06,3.60E-06,1.52E-05,4.88E-07,2.52E-06,1.26E-06,0.116876807,1.43E-05,5.47E-06
8.31E-06,3.53E-06,1.50E-05,4.82E-07,2.46E-06,1.28E-06,0.08430031295,1.42E-05,5.41E-06
8.38E-06,3.71E-06,1.50E-05,4.75E-07,2.49E-06,2.05E-06,0.0932711808,1.42E-05,5.47E-06
8.55E-06,4.08E-06,1.53E-05,4.85E-07,2.52E-06,1.83E-06,0.1463387697,1.44E-05,5.64E-06
8.70E-06,4.17E-06,1.53E-05,5.02E-07,2.52E-06,1.51E-06,0.1553523864,1.42E-05,5.72E-06
8.72E-06,4.14E-06,1.54E-05,5.04E-07,2.60E-06,1.79E-06,0.1099009103,1.41E-05,5.67E-06
8.77E-06,4.30E-06,1.56E-05,5.04E-07,2.72E-06,1.85E-06,0.07065363422,1.43E-05,5.73E-06
9.14E-06,4.63E-06,1.59E-05,4.85E-07,2.70E-06,2.23E-06,0.08445601916,1.43E-05,5.93E-06
1.01E-05,5.34E-06,1.67E-05,4.50E-07,2.65E-06,3.76E-06,0.1758090085,1.48E-05,6.51E-06
1.13E-05,6.40E-06,1.82E-05,4.35E-07,2.71E-06,4.07E-06,0.2929039009,1.57E-05,7.61E-06
1.16E-05,6.82E-06,1.88E-05,4.41E-07,2.66E-06,3.03E-06,0.3735136178,1.60E-05,8.54E-06
1.08E-05,6.38E-06,1.82E-05,4.33E-07,2.49E-06,2.47E-06,0.3981475322,1.53E-05,8.49E-06
9.56E-06,5.75E-06,1.66E-05,4.17E-07,2.32E-06,2.38E-06,0.3813588287,1.43E-05,7.77E-06
